sample_index,actual_label,predicted_label,predicted_class_probability,p_benign,p_malicious,predicted_severity,actual_severity,asset_target,asset_value,risk_score,actual_is_malicious,actual_is_high_severity,fifo_order
15949622,MITM-ARPSPOOFING,MITM-ARPSPOOFING,0.8749426846796702,0.002442794061675607,0.9975572059383244,10,10,server_or_network_infrastructure,9,18.953586912828165,True,True,2452664
7506430,DNS_SPOOFING,MITM-ARPSPOOFING,0.4902616898062824,0.00244299623393468,0.9975570037660653,10,7,server_or_network_infrastructure,9,18.95358307155524,True,True,1760201
16567926,MITM-ARPSPOOFING,MITM-ARPSPOOFING,0.8634711468804481,0.002482441556135373,0.9975175584438646,10,10,server_or_network_infrastructure,9,18.952833610433427,True,True,294994
13725667,MITM-ARPSPOOFING,MITM-ARPSPOOFING,0.7153768915368207,0.002623402984242777,0.9973765970157572,10,10,server_or_network_infrastructure,9,18.950155343299386,True,True,712208
5139324,MITM-ARPSPOOFING,MITM-ARPSPOOFING,0.6948057832792917,0.00283631035780662,0.9971636896421934,10,10,server_or_network_infrastructure,9,18.946110103201676,True,True,49102
14809556,MITM-ARPSPOOFING,MITM-ARPSPOOFING,0.8378423891817652,0.003006078581300602,0.9969939214186994,10,10,server_or_network_infrastructure,9,18.942884506955288,True,True,153003
7557215,DNS_SPOOFING,MITM-ARPSPOOFING,0.54508508654779,0.0031859748786149987,0.996814025121385,10,7,server_or_network_infrastructure,9,18.939466477306315,True,True,1153193
5927145,MITM-ARPSPOOFING,MITM-ARPSPOOFING,0.8329401629340163,0.003848346367404782,0.9961516536325952,10,10,server_or_network_infrastructure,9,18.92688141901931,True,True,2099609
11606181,MITM-ARPSPOOFING,MITM-ARPSPOOFING,0.5887176453912765,0.0038881314487645025,0.9961118685512355,10,10,server_or_network_infrastructure,9,18.926125502473475,True,True,4117959
11401707,MITM-ARPSPOOFING,MITM-ARPSPOOFING,0.765546921689493,0.00409557813557736,0.9959044218644226,10,10,server_or_network_infrastructure,9,18.92218401542403,True,True,859312
7302595,MITM-ARPSPOOFING,MITM-ARPSPOOFING,0.7849619844546313,0.004311757441906815,0.9956882425580932,10,10,server_or_network_infrastructure,9,18.91807660860377,True,True,3027886
8583730,MITM-ARPSPOOFING,MITM-ARPSPOOFING,0.7486743662222207,0.004402221266415585,0.9955977787335845,10,10,server_or_network_infrastructure,9,18.916357795938104,True,True,3570649
13451413,MITM-ARPSPOOFING,MITM-ARPSPOOFING,0.8975433714776244,0.0048841370190264915,0.9951158629809735,10,10,server_or_network_infrastructure,9,18.9072013966385,True,True,2316416
19411188,MITM-ARPSPOOFING,MITM-ARPSPOOFING,0.6042614145017668,0.0053023582899630875,0.9946976417100369,10,10,server_or_network_infrastructure,9,18.899255192490703,True,True,3483296
8372396,MITM-ARPSPOOFING,MITM-ARPSPOOFING,0.695287371594583,0.005549754032978538,0.9944502459670215,10,10,server_or_network_infrastructure,9,18.894554673373406,True,True,3505276
6232141,MITM-ARPSPOOFING,MITM-ARPSPOOFING,0.9274308962853982,0.0057854364179968495,0.9942145635820031,10,10,server_or_network_infrastructure,9,18.89007670805806,True,True,281495
3296090,DNS_SPOOFING,MITM-ARPSPOOFING,0.6138602520633814,0.006293139477405329,0.9937068605225947,10,7,server_or_network_infrastructure,9,18.8804303499293,True,True,3528705
14643240,MITM-ARPSPOOFING,MITM-ARPSPOOFING,0.6633596919917775,0.0063428359647285425,0.9936571640352715,10,10,server_or_network_infrastructure,9,18.879486116670158,True,True,2886473
11435931,DNS_SPOOFING,MITM-ARPSPOOFING,0.6122890962397002,0.006748855890260401,0.9932511441097396,10,7,server_or_network_infrastructure,9,18.87177173808505,True,True,3326944
17138402,MITM-ARPSPOOFING,MITM-ARPSPOOFING,0.5416495969550543,0.007034668656173593,0.9929653313438264,10,10,server_or_network_infrastructure,9,18.866341295532703,True,True,2380833
10512209,MITM-ARPSPOOFING,MITM-ARPSPOOFING,0.8024288352740292,0.007222719816920365,0.9927772801830796,10,10,server_or_network_infrastructure,9,18.862768323478512,True,True,2993274
2951376,MITM-ARPSPOOFING,MITM-ARPSPOOFING,0.5178719944162096,0.007338048196167865,0.9926619518038321,10,10,server_or_network_infrastructure,9,18.86057708427281,True,True,2804282
18903747,MITM-ARPSPOOFING,MITM-ARPSPOOFING,0.8643176263327214,0.007341719425159408,0.9926582805748406,10,10,server_or_network_infrastructure,9,18.860507330921973,True,True,2414442
12753384,MITM-ARPSPOOFING,MITM-ARPSPOOFING,0.8797724324593912,0.007378334480446871,0.9926216655195531,10,10,server_or_network_infrastructure,9,18.85981164487151,True,True,3414191
20289870,MITM-ARPSPOOFING,MITM-ARPSPOOFING,0.9453227167357328,0.0075632805769860765,0.9924367194230139,10,10,server_or_network_infrastructure,9,18.856297669037264,True,True,3744992
1368980,MITM-ARPSPOOFING,MITM-ARPSPOOFING,0.637572915082301,0.007696474159429935,0.99230352584057,10,10,server_or_network_infrastructure,9,18.85376699097083,True,True,2800159
9007050,DNS_SPOOFING,MITM-ARPSPOOFING,0.7821190246278473,0.007943107657205772,0.9920568923427943,10,7,server_or_network_infrastructure,9,18.84908095451309,True,True,977919
13592389,MITM-ARPSPOOFING,MITM-ARPSPOOFING,0.8576636857318266,0.008129547677675434,0.9918704523223245,10,10,server_or_network_infrastructure,9,18.845538594124164,True,True,2721654
1322591,MITM-ARPSPOOFING,MITM-ARPSPOOFING,0.8528415388909352,0.00866424304306205,0.991335756956938,10,10,server_or_network_infrastructure,9,18.83537938218182,True,True,2806464
14219566,MITM-ARPSPOOFING,MITM-ARPSPOOFING,0.5111234370731869,0.00884237496569146,0.9911576250343085,10,10,server_or_network_infrastructure,9,18.831994875651862,True,True,647788
18368105,MITM-ARPSPOOFING,MITM-ARPSPOOFING,0.4918749963008729,0.009159744143177315,0.9908402558568227,10,10,server_or_network_infrastructure,9,18.82596486127963,True,True,1784247
10722289,MITM-ARPSPOOFING,MITM-ARPSPOOFING,0.6652486072981804,0.00935965756723392,0.9906403424327661,10,10,server_or_network_infrastructure,9,18.822166506222555,True,True,2589736
16392987,MITM-ARPSPOOFING,MITM-ARPSPOOFING,0.5287382822330233,0.009795385807069852,0.9902046141929302,10,10,server_or_network_infrastructure,9,18.81388766966567,True,True,4002502
4608057,DNS_SPOOFING,MITM-ARPSPOOFING,0.49421471706106856,0.0102343217557416,0.9897656782442584,10,7,server_or_network_infrastructure,9,18.80554788664091,True,True,4051779
20436427,MITM-ARPSPOOFING,MITM-ARPSPOOFING,0.8014348157581197,0.010819468829366219,0.9891805311706338,10,10,server_or_network_infrastructure,9,18.79443009224204,True,True,2157545
15629677,MITM-ARPSPOOFING,MITM-ARPSPOOFING,0.616368268543532,0.011083739332206107,0.9889162606677939,10,10,server_or_network_infrastructure,9,18.789408952688085,True,True,3963088
7601523,MITM-ARPSPOOFING,MITM-ARPSPOOFING,0.818975846955483,0.011430713250581587,0.9885692867494185,10,10,server_or_network_infrastructure,9,18.78281644823895,True,True,4155721
14331483,MITM-ARPSPOOFING,MITM-ARPSPOOFING,0.8360389693586375,0.011592331090219532,0.9884076689097805,10,10,server_or_network_infrastructure,9,18.77974570928583,True,True,1869029
11514866,MITM-ARPSPOOFING,MITM-ARPSPOOFING,0.6929997113135498,0.012185957594908325,0.9878140424050916,10,10,server_or_network_infrastructure,9,18.76846680569674,True,True,2847932
5546296,MITM-ARPSPOOFING,MITM-ARPSPOOFING,0.6385028409938428,0.012427279103737743,0.9875727208962622,10,10,server_or_network_infrastructure,9,18.76388169702898,True,True,1356630
9288703,MITM-ARPSPOOFING,MITM-ARPSPOOFING,0.49818644899766856,0.012625334488989533,0.9873746655110105,10,10,server_or_network_infrastructure,9,18.7601186447092,True,True,2294416
16802763,MITM-ARPSPOOFING,MITM-ARPSPOOFING,0.6271934616766881,0.013016185901379254,0.9869838140986208,10,10,server_or_network_infrastructure,9,18.752692467873796,True,True,327073
10272931,DNS_SPOOFING,MITM-ARPSPOOFING,0.7564617585160097,0.013987664386827595,0.9860123356131724,10,7,server_or_network_infrastructure,9,18.734234376650274,True,True,477671
13372857,MITM-ARPSPOOFING,MITM-ARPSPOOFING,0.4625555461968354,0.014088623515013459,0.9859113764849865,10,10,server_or_network_infrastructure,9,18.732316153214743,True,True,2416966
1221033,DNS_SPOOFING,MITM-ARPSPOOFING,0.5042459584958484,0.014102019926185877,0.9858979800738141,10,7,server_or_network_infrastructure,9,18.73206162140247,True,True,3372829
7846855,MITM-ARPSPOOFING,MITM-ARPSPOOFING,0.6160055753885488,0.014105049428340628,0.9858949505716593,10,10,server_or_network_infrastructure,9,18.732004060861527,True,True,3709898
15440912,MITM-ARPSPOOFING,MITM-ARPSPOOFING,0.8616396104467896,0.014158391999848443,0.9858416080001515,10,10,server_or_network_infrastructure,9,18.73099055200288,True,True,3307396
10572026,MITM-ARPSPOOFING,MITM-ARPSPOOFING,0.8593096992307737,0.0155602752465595,0.9844397247534405,10,10,server_or_network_infrastructure,9,18.70435477031537,True,True,3400057
14842699,MITM-ARPSPOOFING,MITM-ARPSPOOFING,0.5669181267635817,0.015764085935848896,0.9842359140641511,10,10,server_or_network_infrastructure,9,18.70048236721887,True,True,848012
16646491,MITM-ARPSPOOFING,MITM-ARPSPOOFING,0.7047955026223096,0.015764807050338375,0.9842351929496617,10,10,server_or_network_infrastructure,9,18.700468666043573,True,True,393761
